32, 15, 0.968, 282
13, 35, 0.624, 194
35, 10, 0.616, 229
18, 46, 0.417, 12
38, 53, 0.000, 1
60, 2, 0.333, 3
11, 21, 0.835, 2606
14, 2, 1.803, 4573
18, 65, 0.000, 1
1, 31, 1.820, 266
39, 14, 0.900, 60
22, 66, 0.200, 5
26, 1, 1.956, 663
48, 30, 1.333, 3
29, 20, 0.793, 348
15, 33, 0.487, 230
19, 34, 0.701, 137
2, 54, 0.000, 1
5, 27, 1.096, 980
27, 34, 0.339, 59
47, 47, 0.000, 2
30, 45, 1.000, 1
34, 48, 0.000, 2
17, 8, 1.054, 4513
0, 64, 2.333, 3
20, 3, 1.468, 2674
42, 16, 0.633, 30
23, 22, 0.511, 930
6, 42, 1.100, 40
45, 5, 1.000, 23
10, 57, 1.000, 2
32, 6, 1.059, 407
35, 51, 0.000, 1
18, 41, 0.480, 50
38, 44, 0.750, 4
11, 10, 0.999, 7732
50, 35, 0.000, 3
14, 5, 1.348, 5966
36, 18, 0.695, 118
1, 16, 1.948, 2830
39, 7, 0.762, 101
26, 8, 0.852, 1329
48, 21, 0.000, 3
51, 0, 2.500, 2
15, 46, 0.462, 13
19, 43, 1.000, 22
2, 49, 1.400, 5
5, 4, 1.617, 10731
9, 65, 0.375, 8
66, 18, 0.000, 2
47, 52, 0.000, 1
30, 20, 0.776, 277
17, 1, 2.058, 2759
20, 10, 0.900, 3144
3, 50, 0.600, 5
42, 27, 0.091, 11
23, 47, 0.700, 10
6, 45, 0.850, 20
10, 32, 0.686, 376
67, 17, 0.667, 3
32, 29, 0.582, 67
18, 32, 0.748, 230
57, 11, 4.000, 1
38, 39, 0.600, 5
17, 28, 0.749, 521
60, 16, 2.000, 4
43, 40, 0.000, 4
8, 22, 0.941, 2666
11, 3, 1.577, 6648
14, 12, 0.969, 5133
36, 25, 0.558, 52
61, 15, 3.333, 3
26, 19, 0.498, 681
48, 12, 0.588, 17
51, 9, 0.250, 8
15, 55, 0.000, 2
54, 22, 0.000, 1
19, 48, 0.444, 9
2, 8, 1.854, 7603
24, 37, 0.610, 41
5, 13, 1.346, 6245
27, 48, 0.000, 5
30, 31, 0.464, 69
52, 40, 3.000, 1
55, 13, 0.000, 3
20, 17, 0.726, 1977
3, 59, 2.500, 4
42, 2, 1.667, 30
23, 36, 0.562, 64
6, 36, 0.720, 168
10, 43, 0.132, 38
67, 22, 1.000, 2
32, 20, 0.679, 212
31, 36, 0.094, 32
35, 33, 1.306, 36
18, 27, 0.692, 590
57, 12, 0.000, 1
40, 52, 3.000, 1
43, 33, 0.000, 3
8, 29, 0.863, 723
7, 63, 1.000, 3
11, 56, 0.000, 1
33, 11, 0.664, 277
14, 23, 0.674, 1691
36, 0, 2.755, 220
39, 53, 0.000, 1
61, 8, 0.000, 1
26, 26, 0.450, 322
48, 3, 1.000, 6
12, 25, 0.632, 1413
51, 14, 1.000, 2
15, 60, 0.000, 2
2, 3, 1.953, 9653
24, 44, 0.091, 11
27, 9, 0.888, 1106
10, 67, 0.250, 4
47, 58, 0.000, 1
30, 6, 1.106, 625
55, 10, 2.000, 1
20, 24, 0.737, 978
3, 32, 1.529, 346
42, 13, 0.262, 42
13, 67, 0.400, 5
6, 31, 1.134, 461
28, 40, 0.533, 15
67, 31, 0.000, 1
32, 43, 0.111, 9
31, 45, 0.000, 4
35, 38, 0.071, 14
18, 18, 0.838, 2281
21, 7, 1.000, 2977
4, 65, 1.667, 3
43, 38, 0.833, 6
8, 4, 1.544, 9348
7, 52, 1.000, 5
11, 49, 0.200, 10
33, 12, 0.803, 284
14, 30, 0.749, 418
36, 15, 0.771, 144
61, 1, 0.500, 2
7, 69, 0.000, 1
12, 16, 0.953, 4302
51, 23, 0.500, 2
15, 5, 1.317, 5262
2, 26, 1.773, 832
24, 51, 0.000, 1
27, 14, 0.618, 823
30, 9, 0.881, 596
0, 44, 2.368, 19
55, 3, 0.000, 1
20, 39, 0.322, 59
3, 41, 0.976, 42
6, 22, 1.045, 2533
64, 9, 3.500, 2
28, 39, 0.226, 31
67, 4, 0.000, 1
32, 34, 0.613, 31
31, 42, 0.400, 10
35, 47, 0.000, 2
18, 13, 0.887, 3189
57, 30, 0.000, 1
40, 34, 0.500, 8
21, 0, 3.609, 3721
43, 31, 0.429, 7
8, 11, 1.173, 8116
7, 45, 0.706, 17
11, 54, 0.000, 3
33, 5, 1.144, 312
58, 7, 3.000, 2
39, 43, 0.000, 4
44, 54, 0.000, 1
7, 66, 0.600, 5
12, 15, 0.945, 4580
15, 2, 1.709, 4151
37, 17, 0.667, 90
2, 21, 1.622, 1736
27, 7, 0.930, 1064
49, 22, 1.333, 3
52, 5, 0.250, 4
0, 35, 2.652, 287
55, 24, 0.000, 1
20, 46, 0.125, 8
3, 46, 0.667, 15
23, 51, 0.333, 3
6, 9, 1.234, 9360
64, 0, 2.500, 2
67, 13, 0.400, 5
31, 19, 0.542, 253
18, 4, 1.380, 3817
40, 41, 0.000, 2
