11, 28, 1.894, 860
14, 59, 2.000, 2
1, 6, 3.295, 7164
39, 17, 1.518, 56
26, 6, 2.183, 1259
29, 27, 1.596, 183
51, 50, 1.000, 1
39, 26, 1.200, 25
19, 29, 1.619, 396
2, 63, 7.000, 1
41, 8, 2.074, 68
5, 18, 2.533, 3871
27, 45, 2.375, 8
66, 0, 1.000, 1
30, 42, 1.333, 9
17, 23, 1.755, 1345
20, 4, 2.587, 2816
23, 25, 1.618, 589
6, 51, 1.000, 3
45, 12, 1.450, 20
32, 15, 2.060, 282
13, 35, 1.644, 194
35, 10, 1.734, 229
18, 46, 1.333, 12
38, 53, 1.000, 1
60, 2, 2.000, 3
11, 21, 1.970, 2606
14, 2, 3.209, 4573
18, 65, 1.000, 1
1, 31, 3.511, 266
39, 14, 2.350, 60
22, 66, 1.400, 5
26, 1, 3.483, 663
48, 30, 2.333, 3
29, 20, 1.805, 348
15, 33, 1.526, 230
19, 34, 1.796, 137
2, 54, 1.000, 1
5, 27, 2.297, 980
27, 34, 1.559, 59
47, 47, 1.000, 2
30, 45, 2.000, 1
34, 48, 1.000, 2
17, 8, 2.268, 4513
0, 64, 7.000, 3
20, 3, 2.776, 2674
42, 16, 2.100, 30
23, 22, 1.572, 930
6, 42, 2.400, 40
45, 5, 2.391, 23
10, 57, 2.500, 2
32, 6, 2.310, 407
35, 51, 1.000, 1
18, 41, 1.580, 50
38, 44, 1.750, 4
11, 10, 2.143, 7732
50, 35, 1.000, 3
14, 5, 2.654, 5966
36, 18, 1.678, 118
1, 16, 3.459, 2830
39, 7, 1.782, 101
26, 8, 2.011, 1329
48, 21, 1.000, 3
51, 0, 4.500, 2
15, 46, 1.462, 13
19, 43, 1.727, 22
2, 49, 8.600, 5
5, 4, 2.768, 10731
9, 65, 1.375, 8
66, 18, 1.000, 2
47, 52, 1.000, 1
30, 20, 1.780, 277
17, 1, 3.513, 2759
20, 10, 2.043, 3144
3, 50, 1.600, 5
42, 27, 1.273, 11
23, 47, 1.500, 10
6, 45, 2.600, 20
10, 32, 1.809, 376
67, 17, 2.333, 3
32, 29, 1.537, 67
18, 32, 1.530, 230
57, 11, 7.000, 1
38, 39, 1.400, 5
17, 28, 1.704, 521
60, 16, 2.500, 4
43, 40, 1.000, 4
8, 22, 2.126, 2666
11, 3, 2.876, 6648
14, 12, 2.049, 5133
36, 25, 1.538, 52
61, 15, 4.333, 3
26, 19, 1.640, 681
48, 12, 1.471, 17
51, 9, 1.375, 8
15, 55, 1.000, 2
54, 22, 1.000, 1
19, 48, 1.556, 9
2, 8, 3.020, 7603
24, 37, 1.634, 41
5, 13, 2.593, 6245
27, 48, 1.000, 5
30, 31, 1.391, 69
52, 40, 2.000, 1
55, 13, 1.000, 3
20, 17, 1.804, 1977
3, 59, 2.000, 4
42, 2, 3.033, 30
23, 36, 1.641, 64
6, 36, 2.030, 168
10, 43, 1.395, 38
67, 22, 2.000, 2
32, 20, 1.642, 212
31, 36, 1.188, 32
35, 33, 1.583, 36
18, 27, 1.753, 590
57, 12, 1.000, 1
40, 52, 2.000, 1
43, 33, 1.000, 3
8, 29, 2.123, 723
7, 63, 4.333, 3
11, 56, 1.000, 1
33, 11, 1.852, 277
14, 23, 1.737, 1691
36, 0, 4.973, 220
39, 53, 1.000, 1
61, 8, 1.000, 1
26, 26, 1.556, 322
48, 3, 1.667, 6
12, 25, 1.720, 1413
51, 14, 1.500, 2
15, 60, 1.500, 2
2, 3, 3.013, 9653
24, 44, 1.364, 11
27, 9, 2.099, 1106
10, 67, 1.750, 4
47, 58, 1.000, 1
30, 6, 2.182, 625
55, 10, 5.000, 1
20, 24, 1.862, 978
3, 32, 3.058, 346
42, 13, 1.500, 42
13, 67, 1.200, 5
6, 31, 2.308, 461
28, 40, 1.667, 15
67, 31, 1.000, 1
32, 43, 1.111, 9
31, 45, 1.000, 4
35, 38, 1.214, 14
18, 18, 1.858, 2281
21, 7, 2.191, 2977
4, 65, 2.667, 3
43, 38, 1.833, 6
8, 4, 2.753, 9348
7, 52, 1.800, 5
11, 49, 1.500, 10
33, 12, 1.743, 284
14, 30, 1.763, 418
36, 15, 1.736, 144
61, 1, 2.000, 2
7, 69, 1.000, 1
12, 16, 2.017, 4302
51, 23, 1.500, 2
15, 5, 2.648, 5262
2, 26, 3.201, 832
24, 51, 3.000, 1
27, 14, 1.758, 823
30, 9, 2.025, 596
0, 44, 4.053, 19
55, 3, 2.000, 1
20, 39, 1.356, 59
3, 41, 2.976, 42
6, 22, 2.330, 2533
64, 9, 3.500, 2
28, 39, 1.452, 31
67, 4, 1.000, 1
32, 34, 1.742, 31
31, 42, 1.700, 10
35, 47, 1.000, 2
18, 13, 2.031, 3189
57, 30, 1.000, 1
40, 34, 1.125, 8
21, 0, 6.075, 3721
43, 31, 1.143, 7
8, 11, 2.363, 8116
7, 45, 1.588, 17
11, 54, 1.000, 3
33, 5, 2.516, 312
58, 7, 3.000, 2
39, 43, 1.250, 4
44, 54, 2.000, 1
7, 66, 2.000, 5
12, 15, 2.004, 4580
15, 2, 3.127, 4151
37, 17, 1.611, 90
2, 21, 2.957, 1736
27, 7, 2.148, 1064
49, 22, 2.333, 3
52, 5, 1.500, 4
0, 35, 4.843, 287
55, 24, 1.000, 1
20, 46, 1.500, 8
3, 46, 2.267, 15
23, 51, 1.667, 3
6, 9, 2.378, 9360
64, 0, 7.500, 2
67, 13, 1.200, 5
31, 19, 1.704, 253
18, 4, 2.714, 3817
40, 41, 1.000, 2
21, 9, 2.024, 3033
43, 20, 2.435, 23
8, 50, 2.000, 6
7, 42, 1.786, 42
46, 3, 2.357, 14
11, 47, 1.286, 14
68, 20, 2.000, 2
33, 30, 1.500, 48
16, 50, 1.167, 6
39, 32, 1.583, 12
61, 19, 1.000, 1
44, 45, 1.000, 1
9, 21, 2.013, 2970
48, 40, 1.000, 1
12, 6, 2.424, 7318
16, 65, 2.000, 1
15, 11, 2.034, 4928
